Source IP           Destination IP      Source Port    Destination Port    HTTP Request / Response                 
===================================================================================================================
XiaomiCommun_9e:9c:c3Broadcast           -              -                   -                                       
HonHaiPrecis_8c:90:55XiaomiCommun_9e:9c:c3-              -                   -                                       
192.168.43.153      103.27.9.20         -              -                   GET /sites/default/themes/fusion/fusion_core/js/supposition.js?Y HTTP/1.1 
103.27.9.20         192.168.43.153      -              -                   HTTP/1.1 304 Not Modified               
192.168.43.153      103.27.9.20         -              -                   GET /sites/default/themes/fusion/fusion_core/js/supersubs.js?Y HTTP/1.1 
103.27.9.20         192.168.43.153      -              -                   HTTP/1.1 304 Not Modified               
192.168.43.153      103.27.9.20         -              -                   GET /sites/default/themes/fusion/fusion_core/js/superfish.js?Y HTTP/1.1 
103.27.9.20         192.168.43.153      -              -                   HTTP/1.1 304 Not Modified               
192.168.43.153      103.27.9.20         -              -                   GET /sites/default/themes/fusion/fusion_core/js/script.js?Y HTTP/1.1 
103.27.9.20         192.168.43.153      -              -                   HTTP/1.1 304 Not Modified               
192.168.43.153      103.27.9.20         -              -                   GET /sites/default/themes/acquia_prosper/js/jquery.corner.js?Y HTTP/1.1 
103.27.9.20         192.168.43.153      -              -                   HTTP/1.1 304 Not Modified               
192.168.43.153      103.27.9.20         -              -                   GET /sites/default/themes/acquia_prosper/js/acquia-prosper-script.js?Y HTTP/1.1 
103.27.9.20         192.168.43.153      -              -                   HTTP/1.1 304 Not Modified               
103.27.9.20         192.168.43.153      -              -                   HTTP/1.1 304 Not Modified               
103.27.9.20         192.168.43.153      -              -                   HTTP/1.1 304 Not Modified               
192.168.43.153      103.27.9.20         34577          80                  -                                       
103.27.9.20         192.168.43.153      -              -                   HTTP/1.1 304 Not Modified               
192.168.43.153      103.27.9.20         34573          80                  -                                       
192.168.43.153      103.27.9.20         34574          80                  -                                       
103.27.9.20         192.168.43.153      -              -                   HTTP/1.1 304 Not Modified               
103.27.9.20         192.168.43.153      -              -                   HTTP/1.1 304 Not Modified               
192.168.43.153      103.27.9.20         34576          80                  -                                       
192.168.43.153      103.27.9.20         34578          80                  -                                       
192.168.43.153      103.27.9.20         34575          80                  -                                       
192.168.43.153      192.168.43.1        -              -                   -                                       
192.168.43.1        192.168.43.153      -              -                   -                                       
192.168.43.153      192.168.43.1        -              -                   -                                       
192.168.43.1        192.168.43.153      -              -                   -                                       
192.168.43.153      192.168.43.1        -              -                   -                                       
192.168.43.1        192.168.43.153      -              -                   -                                       
192.168.43.153      192.168.43.1        -              -                   -                                       
192.168.43.1        192.168.43.153      -              -                   -                                       
192.168.43.153      162.213.33.44       37945          80                  -                                       
162.213.33.44       192.168.43.153      80             37945               -                                       
192.168.43.153      162.213.33.44       37945          80                  -                                       
192.168.43.153      162.213.33.44       -              -                   GET /v0/search HTTP/1.1                 
162.213.33.44       192.168.43.153      80             37945               -                                       
162.213.33.44       192.168.43.153      -              -                   HTTP/1.1 200 OK , JSON (application/json)
192.168.43.153      162.213.33.44       37945          80                  -                                       
162.213.33.44       192.168.43.153      80             37945               -                                       
192.168.43.153      162.213.33.44       37945          80                  -                                       
162.213.33.44       192.168.43.153      80             37945               -                                       
192.168.43.153      162.213.33.44       37946          80                  -                                       
162.213.33.44       192.168.43.153      80             37946               -                                       
192.168.43.153      162.213.33.44       37946          80                  -                                       
192.168.43.153      162.213.33.44       -              -                   GET /v0/sources HTTP/1.1                
162.213.33.44       192.168.43.153      80             37946               -                                       
162.213.33.44       192.168.43.153      -              -                   HTTP/1.1 200 OK , JSON (application/json)
192.168.43.153      162.213.33.44       37946          80                  -                                       
162.213.33.44       192.168.43.153      80             37946               -                                       
192.168.43.153      162.213.33.44       37946          80                  -                                       
162.213.33.44       192.168.43.153      80             37946               -                                       
192.168.43.153      103.27.9.20         34578          80                  -                                       
192.168.43.153      103.27.9.20         34577          80                  -                                       
192.168.43.153      103.27.9.20         34576          80                  -                                       
192.168.43.153      103.27.9.20         34575          80                  -                                       
192.168.43.153      103.27.9.20         34574          80                  -                                       
192.168.43.153      103.27.9.20         34573          80                  -                                       
103.27.9.20         192.168.43.153      80             34577               -                                       
192.168.43.153      103.27.9.20         34577          80                  -                                       
103.27.9.20         192.168.43.153      80             34573               -                                       
192.168.43.153      103.27.9.20         34573          80                  -                                       
103.27.9.20         192.168.43.153      80             34574               -                                       
192.168.43.153      103.27.9.20         34574          80                  -                                       
103.27.9.20         192.168.43.153      80             34576               -                                       
192.168.43.153      103.27.9.20         34576          80                  -                                       
103.27.9.20         192.168.43.153      80             34578               -                                       
192.168.43.153      103.27.9.20         34578          80                  -                                       
103.27.9.20         192.168.43.153      80             34575               -                                       
192.168.43.153      103.27.9.20         34575          80                  -                                       
103.27.9.20         192.168.43.153      80             34578               -                                       
103.27.9.20         192.168.43.153      80             34576               -                                       
103.27.9.20         192.168.43.153      80             34577               -                                       
103.27.9.20         192.168.43.153      80             34574               -                                       
103.27.9.20         192.168.43.153      80             34575               -                                       
103.27.9.20         192.168.43.153      80             34573               -                                       
XiaomiCommun_9e:9c:c3Broadcast           -              -                   -                                       
HonHaiPrecis_8c:90:55XiaomiCommun_9e:9c:c3-              -                   -                                       
52.26.54.17         192.168.43.153      -              -                   -                                       
192.168.43.153      52.26.54.17         46428          443                 -                                       
52.26.54.17         192.168.43.153      443            46428               -                                       
192.168.43.153      52.26.54.17         46428          443                 -                                       
XiaomiCommun_9e:9c:c3Broadcast           -              -                   -                                       
HonHaiPrecis_8c:90:55XiaomiCommun_9e:9c:c3-              -                   -                                       
XiaomiCommun_9e:9c:c3Broadcast           -              -                   -                                       
HonHaiPrecis_8c:90:55XiaomiCommun_9e:9c:c3-              -                   -                                       
192.168.43.153      162.213.33.44       37947          80                  -                                       
162.213.33.44       192.168.43.153      80             37947               -                                       
192.168.43.153      162.213.33.44       37947          80                  -                                       
192.168.43.153      162.213.33.44       -              -                   GET /v0/search HTTP/1.1                 
162.213.33.44       192.168.43.153      80             37947               -                                       
162.213.33.44       192.168.43.153      -              -                   HTTP/1.1 200 OK , JSON (application/json)
192.168.43.153      162.213.33.44       37947          80                  -                                       
162.213.33.44       192.168.43.153      80             37947               -                                       
192.168.43.153      162.213.33.44       37947          80                  -                                       
162.213.33.44       192.168.43.153      80             37947               -                                       
192.168.43.153      162.213.33.44       37948          80                  -                                       
162.213.33.44       192.168.43.153      80             37948               -                                       
192.168.43.153      162.213.33.44       37948          80                  -                                       
192.168.43.153      162.213.33.44       -              -                   GET /v0/sources HTTP/1.1                
162.213.33.44       192.168.43.153      80             37948               -                                       
162.213.33.44       192.168.43.153      -              -                   HTTP/1.1 200 OK , JSON (application/json)
192.168.43.153      162.213.33.44       37948          80                  -                                       
162.213.33.44       192.168.43.153      80             37948               -                                       
192.168.43.153      162.213.33.44       37948          80                  -                                       
162.213.33.44       192.168.43.153      80             37948               -                                       
192.168.43.153      103.27.9.167        33425          80                  -                                       
192.168.43.153      192.168.43.1        -              -                   -                                       
192.168.43.1        192.168.43.153      -              -                   -                                       
103.27.9.167        192.168.43.153      80             33425               -                                       
192.168.43.153      103.27.9.167        33425          80                  -                                       
192.168.43.153      103.27.9.167        -              -                   GET /vacancies HTTP/1.1                 
103.27.9.167        192.168.43.153      80             33425               -                                       
103.27.9.167        192.168.43.153      80             33425               -                                       
192.168.43.153      103.27.9.167        33425          80                  -                                       
103.27.9.167        192.168.43.153      80             33425               -                                       
192.168.43.153      103.27.9.167        33425          80                  -                                       
103.27.9.167        192.168.43.153      80             33425               -                                       
192.168.43.153      103.27.9.167        33425          80                  -                                       
103.27.9.167        192.168.43.153      80             33425               -                                       
192.168.43.153      103.27.9.167        33425          80                  -                                       
103.27.9.167        192.168.43.153      -              -                   HTTP/1.1 200 OK  (text/html)            
192.168.43.153      103.27.9.167        33425          80                  -                                       
192.168.43.153      103.27.9.167        -              -                   GET /modules/node/node.css?5 HTTP/1.1   
