1036 8.72366 1.94277
1037 8.83829 1.86263
1038 8.95144 1.79051
1039 9.06315 1.7256
1040 9.17349 1.66718
1041 9.2825 1.6146
1042 9.39023 1.56728
1043 9.49672 1.5247
1044 9.60202 1.48637
1045 9.70616 1.45187
1046 9.80919 1.42082
1047 9.91114 1.39288
1048 10.012 1.36774
1049 5.00602 1
1050 5.20578 1.01839
1051 5.39787 1.03493
1052 5.58313 1.04983
1053 2.79156 1
1054 3.14979 2
1055 3.46727 1.90249
1056 3.75568 1.81473
1057 4.02194 1.73575
1058 4.27058 1.66467
1059 4.50474 1.60069
1060 4.72673 1.54311
1061 4.93829 1.49129
1062 5.14079 1.44466
1063 5.33531 1.40268
1064 5.52274 1.36491
1065 5.70381 1.33091
1066 5.87913 1.30031
1067 6.04923 1.27277
1068 6.21454 1.24798
1069 6.37545 1.22568
1070 6.5323 1.2056
1071 6.68539 1.18753
1072 6.83497 1.17127
1073 6.98127 1.15663
1074 7.12451 1.14346
1075 7.26487 1.13161
1076 7.40252 1.12094
1077 7.53761 2.12094
1078 7.67028 2.01134
1079 7.80065 1.91269
1080 7.92885 1.82392
1081 8.05497 1.74402
1082 8.17912 1.67211
1083 8.30138 1.60739
1084 8.42184 1.54914
1085 8.54058 1.49672
1086 4.27029 1
1087 4.50447 1.02484
1088 4.72647 1.04719
1089 4.93804 1.06731
1090 5.14055 1.08541
1091 5.33508 1.10171
1092 2.66754 1
1093 3.04242 2
1094 3.3711 1.90509
1095 3.66774 1.81966
1096 3.94039 1.74278
1097 4.19417 1.67359
1098 4.4326 1.61131
1099 4.6582 1.55527
1100 4.87288 1.50483
1101 5.07809 1.45943
1102 5.27502 1.41857
1103 2.63751 1
1104 3.01665 1.02093
1105 3.34815 1.03976
1106 3.64682 1.05672
1107 3.92103 1.07197
1108 4.17607 1.0857
1109 4.41553 1.09806
1110 4.642 1.10919
1111 4.85742 1.1192
1112 5.06329 2.1192
1113 5.26079 2.0282
1114 2.6304 1.0141
1115 3.01057 1.06481
1116 3.34273 1.11044
1117 1.67137 1
1118 2.26968 2
1119 2.71027 1.90552
1120 3.07924 1.82049
1121 3.40399 1.74396
1122 3.69777 1.67509
1123 3.9682 1.6131
1124 4.2202 1.55732
1125 4.45716 1.50711
1126 4.68152 1.46192
1127 4.89512 1.42125
1128 5.09941 1.38465
1129 5.29551 1.3517
1130 5.48435 1.32205
1131 5.66668 1.29537
1132 5.84315 1.27136
1133 6.0143 1.24974
1134 6.18057 1.23029
1135 6.34236 1.21278
